room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
13657,48850,Entire home/apt,,Praha 2,25,5,4,1,1,80,2,50.070477,14.41556
23169,5282,Entire home/apt,,Praha 1,69,4.5,2,0,1,104,,50.089077,14.424365
26748,113902,Entire home/apt,,Praha 7,117,5,,2,1,104,,50.100107,14.425674
26755,113902,Entire home/apt,,Praha 1,29,5,4,1,,88,,50.085693,14.433435
27916,120384,Entire home/apt,,Praha 3,230,5,3,0,1,45,2,50.081129,14.456795
33809,146052,Entire home/apt,,Praha 1,124,5,3,1,1,76,3,50.088708,14.407695
33813,146052,Entire home/apt,,Praha 2,124,5,2,1,1,52,3,50.072404,14.440794
34088,147035,Private room,,Praha 2,218,5,1,1,,21,1,50.075227,14.445664
40530,174579,Entire home/apt,,Praha 1,28,4.5,3,1,1,38,3,50.08744,14.401725
40726,174245,Entire home/apt,,Praha 3,45,4.5,4,1,1,45,3,50.079117,14.453729
40728,174245,Entire home/apt,,Praha 3,63,4.5,4,1,1,45,3,50.078706,14.452129
42514,185641,Entire home/apt,,Praha 1,258,5,3,1,1,95,3,50.083647,14.414092
43510,174579,Entire home/apt,,Praha 1,19,4.5,4,1,1,38,3,50.088835,14.402236
43522,174579,Entire home/apt,,Praha 1,23,4.5,3,1,1,38,4,50.087523,14.40366
46142,162082,Entire home/apt,,Praha 1,9,5,2,1,1,115,2,50.089576,14.410612
49857,227945,Entire home/apt,,Praha 2,83,4.5,4,1,1,39,,50.070283,14.432158
49874,227945,Entire home/apt,,Praha 2,63,4.5,3,1,,39,,50.071369,14.432737
50967,227945,Entire home/apt,,Praha 3,91,4.5,,2,1,42,,50.08122,14.448349
52148,227945,Entire home/apt,,Praha 2,51,4.5,,1,,40,,50.071417,14.43069
54793,257722,Entire home/apt,,Praha 9,98,4.5,4,1,,36,2,50.110396,14.497662
55361,261432,Entire home/apt,,Praha 7,3,3,,2,,58,3,50.099497,14.429218
55382,253631,Entire home/apt,,Praha 1,12,4.5,2,1,1,22,2,50.083968,14.429298
55844,227945,Entire home/apt,,Praha 2,126,4.5,3,1,1,39,,50.078017,14.434126
55856,227945,Entire home/apt,,Praha 2,108,4.5,4,1,,45,,50.078323,14.434506
60569,185641,Private room,,Praha 1,27,4.5,2,1,,75,3,50.087532,14.406905
62853,251790,Entire home/apt,,Praha 4,77,5,,2,1,88,1,50.057334,14.443302
67612,333807,Entire home/apt,,Praha 1,122,4.5,,2,1,102,2,50.077303,14.426587
69335,227945,Entire home/apt,,Praha 14,28,4.5,,4,3,58,,50.111815,14.554078
70003,227945,Entire home/apt,,Praha 3,34,4.5,2,1,1,31,,50.087691,14.451635
73268,382300,Private room,,Praha 7,5,4.5,2,1,1,25,1,50.101725,14.423315
74366,383698,Entire home/apt,,Praha 1,23,4.5,3,1,1,80,,50.083926,14.418092
75926,404062,Private room,,Praha 2,128,5,2,1,1,40,2,50.070589,14.441641
76120,405731,Private room,,Praha 8,1,5,2,1,1,70,1,50.130688,14.462011
76144,405927,Entire home/apt,,Praha 7,63,5,2,1,1,30,2,50.107563,14.447735
76254,406700,Private room,,Praha 2,85,4.5,3,1,1,28,2,50.070289,14.434867
79373,5282,Entire home/apt,,Praha 1,21,4.5,3,0,1,113,,50.088519,14.424308
79381,5282,Entire home/apt,,Praha 1,6,5,4,1,1,129,,50.090276,14.422857
80349,434068,Entire home/apt,,Praha 2,33,5,4,2,,105,3,50.0744,14.423119
81020,438733,Entire home/apt,,Praha 2,122,4.5,,3,,92,4,50.078138,14.438618
82379,448305,Entire home/apt,,Praha 3,3,4.5,3,2,1,67,2,50.08102,14.457321
84538,146052,Entire home/apt,,Praha 1,184,4.5,2,1,1,62,3,50.089835,14.406123
98852,517329,Entire home/apt,,Praha 1,243,4.5,2,1,1,93,2,50.086143,14.42145
104797,517329,Entire home/apt,,Praha 2,198,4.5,4,1,,58,3,50.074278,14.438437
106207,227945,Entire home/apt,,Praha 3,63,4.5,4,1,1,39,,50.085744,14.450895
109549,565267,Entire home/apt,,Praha 1,58,4.5,4,2,1,99,2,50.091532,14.425788
111141,227945,Entire home/apt,,Praha 3,77,4.5,3,1,1,31,,50.085487,14.450903
117451,546587,Entire home/apt,,Praha 5,139,4.5,4,1,1,91,,50.065576,14.401441
142452,147035,Private room,,Praha 2,156,5,2,1,,41,1,50.076871,14.446349
142476,147035,Private room,,Praha 2,127,4.5,2,1,,41,1,50.075539,14.44537
144023,698273,Entire home/apt,,Praha 10,13,5,3,1,1,70,2,50.074244,14.45683
144069,698273,Entire home/apt,,Praha 1,16,4.5,2,1,1,58,3,50.084451,14.403728
146690,589265,Entire home/apt,,Praha 3,129,5,,2,1,76,3,50.08686,14.445963
157569,665461,Entire home/apt,,Praha 2,51,5,2,1,1,63,2,50.072612,14.434432
161492,777201,Private room,,Praha 2,121,4.5,4,1,1,34,1,50.077813,14.43714
164923,786483,Entire home/apt,,Praha 3,106,5,3,1,1,53,2,50.075787,14.449057
166573,665461,Entire home/apt,,Praha 2,69,4.5,2,1,1,57,2,50.070715,14.435899
168683,804140,Entire home/apt,,Praha 6,17,4.5,3,2,,46,3,50.095053,14.403422
169662,665461,Entire home/apt,,Praha 2,67,4.5,4,1,1,52,2,50.070785,14.436315
170491,400864,Private room,,Praha 1,106,4.5,2,1,1,79,2,50.087689,14.416561
173114,826315,Entire home/apt,,Praha 1,155,4.5,4,1,,88,2,50.092314,14.421408
173430,828111,Private room,,Praha 5,6,5,2,1,1,50,1,50.067615,14.364535
174010,831073,Private room,,Praha 8,21,5,3,1,1,30,2,50.114546,14.472563
176383,843497,Private room,,Praha 10,28,5,,1,1,52,1,50.056293,14.480424
176393,843542,Private room,,Praha 2,1,5,2,1,1,22,1,50.073977,14.440106
184297,884061,Entire home/apt,,Praha 4,25,4.5,5,1,1,33,3,50.046923,14.476182
186750,783726,Entire home/apt,,Praha 3,208,5,4,1,1,43,,50.084836,14.453176
190423,955586,Entire home/apt,,Praha 5,11,4.5,,2,1,138,3,50.079337,14.4035
191474,333807,Entire home/apt,,Praha 1,21,4.5,5,1,1,105,2,50.090473,14.429013
191547,333807,Entire home/apt,,Praha 1,25,5,,2,2,115,2,50.09096,14.429579
191554,333807,Entire home/apt,,Praha 1,25,4.5,2,1,1,53,2,50.091514,14.427531
196168,954771,Entire home/apt,,Praha 5,6,4.5,4,1,1,57,2,50.069606,14.375865
199494,974253,Entire home/apt,,Praha 2,233,5,5,1,1,85,1,50.078394,14.437218
200092,955586,Entire home/apt,,Praha 1,6,4.5,3,1,1,70,3,50.091465,14.425471
201908,955586,Entire home/apt,,Praha 5,10,4.5,2,1,1,71,3,50.079822,14.403996
202545,955586,Entire home/apt,,Praha 5,25,4.5,,2,1,142,3,50.079249,14.403959
202584,955586,Entire home/apt,,Praha 1,4,4,5,1,1,89,3,50.087963,14.395372
204269,606694,Entire home/apt,,Praha 1,184,5,2,1,1,60,2,50.079654,14.421797
207149,4199867,Entire home/apt,,Praha 1,64,4.5,4,2,,120,3,50.087935,14.406397
209666,1033345,Entire home/apt,,Praha 7,60,5,4,2,1,110,3,50.100677,14.429161
209669,383698,Entire home/apt,,Praha 1,16,4,,3,1,196,,50.080788,14.423147
211469,1090842,Entire home/apt,,Praha 3,82,5,4,1,1,68,2,50.079267,14.454314
211642,955586,Entire home/apt,,Praha 1,22,4.5,5,1,1,92,3,50.093023,14.431495
211651,955586,Entire home/apt,,Praha 1,25,4.5,,2,1,115,3,50.091905,14.432956
212611,955586,Entire home/apt,,Praha 1,83,4.5,,2,1,92,3,50.088395,14.431964
215576,955586,Entire home/apt,,Praha 5,8,4.5,2,1,1,68,3,50.079518,14.405489
215583,955586,Entire home/apt,,Praha 5,21,5,,2,1,138,3,50.08022,14.403949
215586,955586,Entire home/apt,,Praha 5,4,4.5,,3,1,173,3,50.078905,14.404186
220050,952134,Entire home/apt,,Praha 5,111,4.5,4,1,1,49,1,50.069575,14.408109
220569,870664,Private room,,Praha 1,31,4,5,1,,80,1,50.093179,14.433645
222299,870664,Entire home/apt,,Praha 2,87,4,4,1,1,44,1,50.075086,14.43097
224386,383698,Entire home/apt,,Praha 1,44,4.5,,3,2,231,,50.091322,14.4207
224457,1167278,Entire home/apt,,Praha 1,190,4.5,,2,1,29,2,50.086941,14.408764
224929,1171182,Entire home/apt,,Praha 10,32,4.5,4,1,1,34,1,50.070771,14.449824
226599,1171182,Private room,,Praha 10,20,5,2,1,1,45,1,50.07167,14.448738
226662,1171182,Private room,,Praha 10,31,4.5,1,1,1,22,1,50.071047,14.448289
227596,1171182,Entire home/apt,,Praha 10,10,5,3,1,1,34,1,50.071118,14.449624
228060,1171182,Private room,,Praha 10,53,4.5,2,1,1,34,2,50.071239,14.44853
232953,1109528,Entire home/apt,,Praha 2,259,5,2,1,1,66,1,50.075799,14.4307
237919,831073,Private room,,Praha 8,2,5,3,1,1,46,3,50.113981,14.474786
